timestamp,open_price,high_price,low_price,closing_price,volume
2024-10-16T04:00:00,491.18,491.69,487.57,490.91,22996776.0
2024-10-15T04:00:00,497.83,498.5,488.68,490.85,34784506.0
2024-10-14T04:00:00,495.77,498.83,495.26,497.5,26060145.0
2024-10-11T04:00:00,490.74,494.39,490.17,493.36,20644497.0
2024-10-10T04:00:00,490.85,494.47,489.53,492.59,25750446.0
2024-10-09T04:00:00,489.0,493.73,487.95,493.15,24994950.0
2024-10-08T04:00:00,484.66,489.99,483.845,489.3,28272017.0
2024-10-07T04:00:00,485.39,486.57,480.87,482.1,24975119.0
2024-10-04T04:00:00,487.45,487.88,482.385,487.32,30744909.0
2024-10-03T04:00:00,479.74,484.545,478.99,481.59,25337220.0
2024-10-02T04:00:00,480.36,483.88,477.72,481.95,23744049.0
2024-10-01T04:00:00,487.7,488.0,477.4,481.27,42735424.0
2024-09-30T04:00:00,485.78,488.41,482.92,488.07,30330605.0
2024-09-27T04:00:00,490.5,490.64,485.56,486.75,22851120.0
2024-09-26T04:00:00,493.37,493.7,485.8,489.47,32020206.0
2024-09-25T04:00:00,484.74,487.79,484.56,485.82,26549866.0
2024-09-24T04:00:00,484.46,486.33,480.17,485.37,25952637.0
2024-09-23T04:00:00,482.95,484.14,481.6,483.04,24842972.0
2024-09-20T04:00:00,482.49,483.69,478.3,482.44,34577663.0
2024-09-19T04:00:00,482.61,486.23,480.49,483.36,52782523.0
2024-09-18T04:00:00,474.7,478.83,470.83,471.44,39909215.0
2024-09-17T04:00:00,476.29,477.6,470.97,473.49,30084438.0
2024-09-16T04:00:00,473.19,473.8599,469.89,473.24,22585596.0
2024-09-13T04:00:00,472.48,476.53,472.25,475.34,29111849.0
2024-09-12T04:00:00,468.65,474.04,466.8491,473.22,40175456.0
2024-09-11T04:00:00,459.91,469.37,451.28,468.62,57842992.0
2024-09-10T04:00:00,456.24,459.17,452.23,458.66,29680319.0
2024-09-09T04:00:00,453.06,455.46,449.823428,454.46,32981169.0
2024-09-06T04:00:00,460.33,461.22,448.19,448.69,50624385.0
2024-09-05T04:00:00,458.97,465.36,457.939,461.04,34452385.0
2024-09-04T04:00:00,458.67,464.45,457.73,460.61,32505102.0
2024-09-03T04:00:00,473.2,473.33,459.4101,461.81,44985219.0
2024-08-30T04:00:00,475.04,476.9,470.51,476.27,33466473.0
2024-08-29T04:00:00,473.28,477.93,469.372,470.66,41081465.0
2024-08-28T04:00:00,476.29,477.02,467.89,471.35,37372436.0
2024-08-27T04:00:00,473.69,477.84,471.71,476.76,27510003.0
2024-08-26T04:00:00,479.45,480.38,473.24,475.34,27452641.0
2024-08-23T04:00:00,479.24,482.74,475.28,480.0,36061508.0
2024-08-22T04:00:00,484.84,485.54,473.81,474.85,37739576.0
2024-08-21T04:00:00,481.05,484.37,479.32,482.5,25658787.0
2024-08-20T04:00:00,480.35,482.94,478.55,480.26,29209340.0
2024-08-19T04:00:00,475.17,481.31,473.37,481.27,23737674.0
2024-08-16T04:00:00,472.62,476.41,471.65,475.03,38383623.0
2024-08-15T04:00:00,468.76,474.82,468.38,474.42,38280565.0
2024-08-14T04:00:00,463.51,465.1093,458.4,462.73,34733746.0
2024-08-13T04:00:00,455.82,462.85,455.68,462.58,40084457.0
2024-08-12T04:00:00,451.39,454.37,448.5546,451.38,27795006.0
2024-08-09T04:00:00,446.74,452.06,445.61,450.41,33573976.0
2024-08-08T04:00:00,441.06,448.99,437.15,448.07,47890071.0
2024-08-07T04:00:00,446.49,449.0,434.37,434.77,54929163.0
2024-08-06T04:00:00,437.23,447.07,434.56,439.53,63164429.0
2024-08-05T04:00:00,424.71,442.29,423.45,435.37,87483452.0
2024-08-02T04:00:00,450.89,453.57,444.47,448.75,66323244.0
2024-08-01T04:00:00,471.76,475.55,455.98,459.66,56653900.0
2024-07-31T04:00:00,467.87,472.79,466.41,471.07,44552134.0
2024-07-30T04:00:00,465.85,466.561,454.15,457.53,41317210.0
2024-07-29T04:00:00,465.71,467.91,461.615,463.9,28218476.0
2024-07-26T04:00:00,462.65,465.93,459.77,462.97,39992132.0
2024-07-25T04:00:00,463.72,467.94,455.63,458.27,59256759.0
2024-07-24T04:00:00,473.82,474.19,462.51,463.38,58818629.0
2024-07-23T04:00:00,481.41,484.43,480.14,480.62,23282454.0
2024-07-22T04:00:00,481.16,483.35,477.7068,482.32,40299999.0
2024-07-19T04:00:00,479.15,481.69,473.94,475.24,42042856.0
2024-07-18T04:00:00,485.53,485.71,476.27,479.49,49347361.0
2024-07-17T04:00:00,488.28,488.7984,481.7,481.77,56268768.0
2024-07-16T04:00:00,497.62,498.44,493.15,496.34,25950622.0
2024-07-15T04:00:00,496.61,501.01,494.09,496.15,31151386.0
2024-07-12T04:00:00,492.51,499.62,492.04,494.82,37109399.0
2024-07-11T04:00:00,503.07,503.28,490.725,491.93,49966590.0
2024-07-10T04:00:00,499.71,503.52,498.39,502.96,28046901.0
2024-07-09T04:00:00,498.87,500.0,496.24,497.77,25701253.0
2024-07-08T04:00:00,496.53,497.895,495.5,497.34,22109420.0
2024-07-05T04:00:00,491.89,496.6,491.59,496.16,28495936.0
2024-07-03T04:00:00,486.22,491.17,486.22,491.04,18064880.0
2024-07-02T04:00:00,480.41,487.04,480.28,486.98,26723559.0
2024-07-01T04:00:00,480.04,482.49,476.255,481.92,24898336.0
2024-06-28T04:00:00,482.41,487.2,478.46,479.11,34881581.0
2024-06-27T04:00:00,480.12,483.1,479.3,481.61,26222135.0
2024-06-26T04:00:00,478.55,480.92,478.13,480.37,22737105.0
2024-06-25T04:00:00,476.07,479.68,475.12,479.38,29250209.0
2024-06-24T04:00:00,478.18,479.93,473.82,473.96,37750969.0
2024-06-21T04:00:00,481.19,482.535,478.67,480.18,39432913.0
2024-06-20T04:00:00,486.42,486.8387,479.62,481.47,33918683.0
2024-06-18T04:00:00,485.01,485.9,483.43,485.21,24438565.0
2024-06-17T04:00:00,479.46,486.86,478.14,485.06,37054504.0
2024-06-14T04:00:00,476.52,479.26,476.05,479.19,23372620.0
2024-06-13T04:00:00,477.72,478.39,474.42,476.72,25859014.0
2024-06-12T04:00:00,471.99,476.5,471.29,474.15,34532585.0
2024-06-11T04:00:00,463.54,468.14,462.03,468.02,22053281.0
2024-06-10T04:00:00,461.82,465.19,461.53,464.83,20719771.0
2024-06-07T04:00:00,463.0,465.74,461.84,462.96,25829720.0
2024-06-06T04:00:00,464.22,464.54,462.19,463.37,21966820.0
2024-06-05T04:00:00,457.98,463.61,454.408,463.53,33817409.0
2024-06-04T04:00:00,452.87,455.575,451.1311,454.37,23767436.0
2024-06-03T04:00:00,454.57,455.58,447.9,453.13,32997467.0
2024-05-31T04:00:00,451.78,452.48,443.055,450.71,55941301.0
2024-05-30T04:00:00,455.5,455.64,450.21,451.55,30714121.0
2024-05-29T04:00:00,455.48,458.24,455.34,456.44,29739238.0
2024-05-28T04:00:00,459.18,459.74,456.69,459.68,26216815.0
2024-05-24T04:00:00,455.29,459.23,453.5674,457.95,29669461.0
2024-05-23T04:00:00,460.55,460.58,451.8503,453.66,40899230.0
2024-05-22T04:00:00,456.06,456.82,453.08,455.71,25120040.0
2024-05-21T04:00:00,453.04,455.99,452.84,455.8,23167720.0
2024-05-20T04:00:00,451.98,455.58,451.785,454.91,24474226.0
2024-05-17T04:00:00,452.11,452.72,449.5399,451.76,35803719.0
2024-05-16T04:00:00,452.71,454.69,451.81,451.98,34780412.0
2024-05-15T04:00:00,448.43,453.15,446.9,452.9,41464651.0
2024-05-14T04:00:00,442.65,446.465,442.46,445.93,34478321.0
2024-05-13T04:00:00,443.99,444.09,441.65,443.08,22994192.0
2024-05-10T04:00:00,442.54,444.31,440.499,442.06,27116566.0
2024-05-09T04:00:00,440.33,441.6,438.46,441.02,24580121.0
2024-05-08T04:00:00,437.67,441.48,437.55,440.06,24896723.0
2024-05-07T04:00:00,440.7,441.97,439.58,440.32,30996094.0
2024-05-06T04:00:00,437.3,440.34,436.52,440.25,30227200.0
2024-05-03T04:00:00,434.44,436.48,432.62,435.48,48515252.0
2024-05-02T04:00:00,425.3,427.81,420.63,426.9,36559007.0
2024-05-01T04:00:00,423.15,430.14,420.66,421.52,52251707.0
2024-04-30T04:00:00,431.15,432.56,424.51,424.59,43665934.0
2024-04-29T04:00:00,433.13,433.76,429.98,432.75,30022161.0
2024-04-26T04:00:00,427.62,432.55,426.92,431.0,41874907.0
2024-04-25T04:00:00,419.24,425.32,418.14,424.45,57392169.0
2024-04-24T04:00:00,428.2,429.73,424.2,426.51,48440305.0
2024-04-23T04:00:00,420.77,426.28,418.8715,425.07,44384741.0
2024-04-22T04:00:00,417.31,421.18,413.94,418.82,47807663.0
2024-04-19T04:00:00,422.22,422.75,413.07,414.65,75230990.0
2024-04-18T04:00:00,426.49,428.24,422.83,423.41,46549363.0
2024-04-17T04:00:00,433.1,433.12,424.9,425.84,56880536.0
2024-04-16T04:00:00,430.9,433.76,429.7,431.1,47618961.0
2024-04-15T04:00:00,442.06,442.15,430.21,431.06,63453622.0
2024-04-12T04:00:00,441.1,442.24,436.88,438.27,53664995.0
2024-04-11T04:00:00,440.26,446.33,437.96,445.37,45474550.0
2024-04-10T04:00:00,437.0,439.24,436.28,438.37,61502191.0
2024-04-09T04:00:00,442.96,443.24,437.44,442.23,39521568.0
2024-04-08T04:00:00,441.41,442.5,439.2,440.6,28144944.0
2024-04-05T04:00:00,436.78,443.17,435.96,440.47,54744634.0
2024-04-04T04:00:00,446.33,446.95,435.11,435.34,57267660.0
2024-04-03T04:00:00,438.96,444.0,438.95,442.1,39949750.0
2024-04-02T04:00:00,440.08,441.43,438.03,441.11,44259665.0
2024-04-01T04:00:00,444.97,447.53,443.02,444.95,38728951.0
2024-03-28T04:00:00,444.78,445.64,443.65,444.01,36839641.0
2024-03-27T04:00:00,446.44,446.54,441.93,444.83,41359240.0
2024-03-26T04:00:00,446.3,447.225,443.09,443.32,34142043.0
2024-03-25T04:00:00,443.55,446.26,442.54,444.76,27789154.0
2024-03-22T04:00:00,445.35,447.49,444.49,446.38,28253899.0
2024-03-21T04:00:00,448.88,449.34,445.67,445.87,39345652.0
2024-03-20T04:00:00,439.78,444.11,438.06,443.77,43653490.0
2024-03-19T04:00:00,435.45,438.98,433.33,438.57,43004105.0
2024-03-18T04:00:00,438.73,441.04,437.24,437.48,47323802.0
